DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
127,19,AQ,DeepHole,6/4/2014,15:30,PML,0,1.5,1,,5.609455681,NA,0
128,19,AQ,DeepHole,6/4/2014,15:30,PML,0,1.5,2,,6.369890539,NA,0
129,15,HB,DeepHole,6/5/2014,8:45,PML,0,0.5,1,,20.13563678,0.555323355,0
130,15,HB,DeepHole,6/5/2014,8:45,PML,0,0.5,2,,21.31239129,NA,0
131,15,HB,DeepHole,6/5/2014,8:45,Hypo,5,5,1,,28.54195964,1.40050809,0
132,15,HB,DeepHole,6/5/2014,8:45,Hypo,5,5,2,,23.97471095,NA,0
133,15,HB,Outlet,6/5/2014,9:00,Surface,0,0,1,,20.05928094,0.522571267,0
134,15,HB,Outlet,6/5/2014,9:00,Surface,0,0,2,,19.77284261,0.520955401,0
135,15,CR,DeepHole,6/5/2014,10:00,PML,0,2,1,,4.792274016,NA,0
136,15,CR,DeepHole,6/5/2014,10:00,PML,0,2,2,,5.414382595,0.248227804,0
137,15,CR,DeepHole,6/5/2014,10:00,Hypo,10,10,1,,4.267287375,NA,0
138,15,CR,DeepHole,6/5/2014,10:00,Hypo,10,10,2,,4.874650252,NA,0
139,15,CR,Outlet,6/5/2014,10:50,Surface,0,0,1,,4.782421164,NA,0
140,15,CR,Outlet,6/5/2014,10:50,Surface,0,0,2,,4.632923068,0.219435503,0
141,21,EL,DeepHole,6/4/2014,10:00,point,0.5,0.5,1,,10.55071023,0.341374499,0
142,21,EL,DeepHole,6/4/2014,10:00,point,0.5,0.5,2,,10.38019332,NA,0
143,21,WL,DeepHole,6/4/2014,10:30,point,0.5,0.5,1,,5.966880614,NA,0
144,21,WL,DeepHole,6/4/2014,10:30,point,0.5,0.5,2,,8.131429628,NA,0
145,21,HB,DeepHole,6/4/2014,11:00,point,0.5,0.5,1,,20.76223817,0.465029656,0
146,21,HB,DeepHole,6/4/2014,11:00,point,0.5,0.5,2,,19.87645251,NA,0
147,21,CR,DeepHole,6/4/2014,10:00,point,0.5,0.5,1,,4.587201923,NA,0
148,21,CR,DeepHole,6/4/2014,10:00,point,0.5,0.5,2,,5.929375824,0.347980988,0
149,21,MO,DeepHole,6/4/2014,12:00,point,0.5,0.5,1,,14.50407163,NA,0
150,21,MO,DeepHole,6/4/2014,12:00,point,0.5,0.5,2,,20.33334646,NA,0
151,15,MO,DeepHole,6/6/2014,8:45,PML,0,0.5,1,,17.14302081,NA,0
152,15,MO,DeepHole,6/6/2014,8:45,PML,0,0.5,2,,17.57564116,0.466119113,0
153,15,MO,DeepHole,6/6/2014,8:45,Hypo,5,5,1,,14.46532175,1.1633713,0
154,15,MO,DeepHole,6/6/2014,8:45,Hypo,5,5,2,,18.384084,NA,0
155,15,MO,Outlet,6/6/2014,9:00,Surface,0,0,1,,16.30129286,NA,0
156,15,MO,Outlet,6/6/2014,9:00,Surface,0,0,2,,17.91888576,NA,0
158,15,MO,Inlet1,6/6/2014,10:45,Surface,0,0,2,,11.83713472,NA,0
158,15,MO,Inlet1,6/6/2014,10:45,Surface,0,0,2,,12.23191754,0.538089822,0
159,15,MO,Inlet2,6/6/2014,11:20,Surface,0,0,1,,28.37875787,NA,0
160,15,MO,Inlet2,6/6/2014,11:20,Surface,0,0,2,,27.62762375,NA,0
161,15,MO,Inlet3,6/6/2014,9:45,Surface,0,0,1,,57.84142953,1.235997731,0
162,15,MO,Inlet3,6/6/2014,9:45,Surface,0,0,2,,55.98550842,1.19128402,0
163,19,BV,DeepHole,6/6/2014,12:20,PML,0,3,1,,2.097053378,NA,0
164,19,BV,DeepHole,6/6/2014,12:20,PML,0,3,2,,2.698004878,NA,0
165,19,ER,DeepHole,6/6/2014,11:20,PML,0,2.5,1,,5.952468878,NA,0
166,19,ER,DeepHole,6/6/2014,11:20,PML,0,2.5,2,,5.428326913,NA,0
167,19,BH,DeepHole,6/6/2014,9:20,PML,0,1.5,1,,13.10235198,NA,0
168,19,BH,DeepHole,6/6/2014,9:20,PML,0,1.5,2,,12.01507003,NA,0
169,19,MC,DeepHole,6/9/2014,11:00,PML,0,2,1,,12.340819,NA,0
170,19,MC,DeepHole,6/9/2014,11:00,PML,0,2,2,,13.16744252,NA,0
171,19,TF,DeepHole,6/9/2014,16:00,PML,0,3,1,,13.02996361,0.413554489,0
172,19,TF,DeepHole,6/9/2014,16:00,PML,0,3,2,,10.91020075,0.484637387,0
173,15,CR,DeepHole,6/10/2014,9:00,PML,0,2,1,,5.11261654,0.24347588,0
174,15,CR,DeepHole,6/10/2014,9:00,PML,0,2,2,,4.961770543,0.24265839,0
175,15,CR,DeepHole,6/10/2014,9:00,Hypo,10,10,1,,5.23374867,NA,0
176,15,CR,DeepHole,6/10/2014,9:00,Hypo,10,10,2,,4.96377358,NA,0
177,15,CR,Outlet,6/10/2014,10:00,Surface,0,0,1,,3.917881232,NA,0
178,15,CR,Outlet,6/10/2014,10:00,Surface,0,0,2,,7.414154846,NA,0
179,15,HB,DeepHole,6/10/2014,12:25,PML,0,0.5,1,,22.47035542,NA,0
180,15,HB,DeepHole,6/10/2014,12:25,PML,0,0.5,2,,22.83671088,NA,0
181,15,HB,DeepHole,6/10/2014,12:25,Hypo,5,5,1,,30.56354769,NA,0
182,15,HB,DeepHole,6/10/2014,12:25,Hypo,5,5,2,,28.45126109,1.474916379,0
183,15,HB,Outlet,6/10/2014,13:00,Surface,0,0,1,,21.71415178,NA,0
184,15,HB,Outlet,6/10/2014,13:00,Surface,0,0,2,,22.53346033,NA,0
185,3,WL,DeepHole,6/11/2014,10:15,PML,0,1.5,1,,7.154154079,NA,0
186,3,WL,DeepHole,6/11/2014,10:15,PML,0,1.5,2,,6.471318596,NA,0
187,3,WL,DeepHole,6/11/2014,10:15,Hypo,8,8,1,,6.795138603,NA,0
188,3,WL,DeepHole,6/11/2014,10:15,Hypo,8,8,2,,7.704062753,NA,0
189,3,EL,DeepHole,6/11/2014,11:45,PML,0,1,1,,11.24777775,0.317836547,0
190,3,EL,DeepHole,6/11/2014,11:45,PML,0,1,2,,10.67334431,0.364173558,0
191,3,EL,DeepHole,6/11/2014,11:45,Hypo,8,8,1,,11.49099727,0.449088344,0
192,3,EL,DeepHole,6/11/2014,11:45,Hypo,8,8,2,,12.06203438,0.499433721,0
193,3,EL,Outlet,6/11/2014,13:05,Surface,0,0,1,,9.372443848,NA,0
194,3,EL,Outlet,6/11/2014,13:05,Surface,0,0,2,,10.47678982,NA,0
195,3,EL,Inlet1,6/11/2014,13:25,Surface,0,0,1,,64.71937864,NA,0
196,3,EL,Inlet1,6/11/2014,13:25,Surface,0,0,2,,72.53552659,1.55783324,0
197,19,HE,DeepHole,6/12/2014,11:00,PML,0,1,1,,26.76789111,NA,0
198,19,HE,DeepHole,6/12/2014,11:00,PML,0,1,2,,29.37760481,NA,0
199,19,RS,DeepHole,6/12/2014,9:20,PML,0,0.5,1,,17.50927277,0.554558377,0
200,19,RS,DeepHole,6/12/2014,9:20,PML,0,0.5,2,,18.41063002,0.479060924,0
201,15,HB,WC1,6/12/2014,16:45,Surface,0,0,1,,26.49913831,NA,0
202,15,HB,WC1,6/12/2014,16:45,Surface,0,0,2,,26.67278376,NA,0
203,15,MO,DeepHole,6/13/2014,8:55,PML,0,1.5,1,,14.40207589,0.421652658,0
204,15,MO,DeepHole,6/13/2014,8:55,PML,0,1.5,2,,15.34041539,NA,0
205,15,MO,DeepHole,6/13/2014,8:55,Hypo,5,5,1,,16.41140414,1.31717693,0
206,15,MO,DeepHole,6/13/2014,8:55,Hypo,5,5,2,,16.98141384,NA,0
207,15,MO,Outlet,6/13/2014,9:45,Surface,0,0,1,,18.02668757,NA,0
208,15,MO,Outlet,6/13/2014,9:45,Surface,0,0,2,,14.82470982,NA,0
209,15,MO,Inlet1,6/13/2014,10:00,Surface,0,0,1,,11.31223727,NA,0
