"","lakeID","dateSample","depthClass","POC","particulateP.ugL","CP","year"
"180","EL","2013-07-25 00:00:00","Surface",0.577051111,0.8252091,324.583832423552,"2013"
"181","EL","2013-07-25 00:00:00","Surface",3.864808,1.777842,280.290818331087,"2013"
"182","WL","2013-07-31 00:00:00","PML",0.627706,1.3716432,236.020228428983,"2013"
"183","WL","2013-07-31 00:00:00","Hypo",0.872642857,2.3194404,135.826797784786,"2013"
"184","EL","2013-07-31 00:00:00","PML",2.242488889,1.4296716,728.065782106435,"2013"
"185","EL","2013-07-31 00:00:00","Hypo",0.640117778,2.1888765,135.742311671581,"2013"
"186","EL","2013-07-31 00:00:00","Surface",0.384498,0.5544099,357.68210237517,"2013"
"187","EL","2013-07-31 00:00:00","Surface",1.32324,1.4103288,290.337810638153,"2013"
"188","WL","2013-08-06 00:00:00","PML",0.529752,0.5894979,463.473005191376,"2013"
"189","WL","2013-08-06 00:00:00","Hypo",0.901145714,2.2473123,144.765053128517,"2013"
"190","EL","2013-08-06 00:00:00","PML",0.503457143,0.6695628,271.458428902769,"2013"
"191","EL","2013-08-06 00:00:00","Hypo",0.747942857,1.5502767,174.177214318831,"2013"
"192","EL","2013-08-06 00:00:00","Surface",0.425448571,0.7637568,402.211160040988,"2013"
"193","EL","2013-08-06 00:00:00","Surface",1.560213333,1.5314379,236.445585037415,"2013"
"194","WL","2013-08-14 00:00:00","PML",0.550511429,0.9568545,207.707690526441,"2013"
"195","WL","2013-08-14 00:00:00","Hypo",0.635405714,1.9835691,115.647413266741,"2013"
"196","EL","2013-08-14 00:00:00","PML",0.358362857,0.8485314,152.470987694432,"2013"
"197","EL","2013-08-14 00:00:00","Hypo",0.406154286,1.7386647,84.3349020233561,"2013"
