"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","amountN.mg","amountC.mg","flag","ProjectID","Date.time","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","dateTimeSample","dateSample","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP"
"48",48,"P-0771",NA,NA,0.844,112,0.837,2.23,0,5.968,5.874,0,479,593,0.026,-26.343,0.0061208,0.1089496,0,3,"7/3/13 9:25","EL","Outlet","Surface","0",180,"",0.034004444,0.605275556,"2013-07-03 09:25:00","2013-07-03 00:00:00",1.1229708,9.07081841645159e-06,4.36981509245377e-07,3.62564427081652e-08,250.185008205694,20.7578998757086,12.052520231031
"49",49,"P-0789",NA,NA,1.403,184,1.392,-1.174,0,5.92,5.827,0,476,588,0.025,-28.834,0.0107046,0.108124,0,3,"7/10/13 11:30","WL","DeepHole","PML","0-1.5",200,"",0.053523,0.54062,"2013-07-10 11:30:00","2013-07-10 00:00:00",NA,9.00208142536009e-06,7.64232169629471e-07,NA,NA,11.7792495305774,NA
"50",50,"P-0790",NA,NA,2.462,313,2.443,-0.825,0,8.271,8.141,0,654,812,0.035,-30.673,0.0193884,0.1485612,0,3,"7/10/13 11:30","WL","DeepHole","Hypo","8",175,"",0.110790857,0.848921143,"2013-07-10 11:30:00","2013-07-10 00:00:00",2.4792444,1.23687619681958e-05,1.38419361747698e-06,8.0045342717851e-08,154.521944041067,8.93571665988524,17.2926190391372
"51",51,"P-0791",NA,NA,3.06,397,3.037,0.684,0,10.699,10.531,0,849,1052,0.046,-29.589,0.024292,0.1903228,1,3,"7/10/13 12:30","EL","DeepHole","PML","0-1.5",180,"",0.134955556,1.057348889,"2013-07-10 12:30:00","2013-07-10 00:00:00",2.5141485,1.58457081009075e-05,1.73427571928322e-06,8.11722629386885e-08,195.2108704038,9.13678714677307,21.3653735462957
"52",52,"P-0792",NA,NA,3.571,462,3.544,2.084,0,11.046,10.873,0,876,1084,0.047,-28.464,0.0284822,0.1962912,1,3,"7/10/13 12:30","EL","DeepHole","Hypo","8",NA,"volume not recorded",NA,NA,"2013-07-10 12:30:00","2013-07-10 00:00:00",2.9579292,1.63426192656731e-05,2.03342614407082e-06,9.55002486036225e-08,171.126457832626,8.03698689196353,21.292364928919
"53",53,"P-0793",NA,NA,0.733,92,0.728,-1.038,0,4.899,4.822,0,388,481,0.021,-25.196,0.0052106,0.0905628,1,3,"7/10/13 12:30","EL","Inlet","Surface","0",200,"",0.026053,0.452814,"2013-07-10 12:30:00","2013-07-10 00:00:00",0.6293271,7.53998834401798e-06,3.719997144285e-07,2.03185710134633e-08,371.088514985719,20.2688014306721,18.3083600801458
"54",54,"P-0794",NA,NA,2.815,371,2.794,2.09,0,9.261,9.115,0,737,909,0.039,-27.508,0.02402,0.1700892,0,3,"7/10/13 12:30","EL","Outlet","Surface","0",180,"",0.133444444,0.94494,"2013-07-10 12:30:00","2013-07-10 00:00:00",1.6565049,1.41611189742736e-05,1.71485685728564e-06,5.34822232266813e-08,264.781793274608,8.25790147679642,32.0640533213685
"55",55,"P-0822",NA,NA,1.164,146,1.156,0.434,0,7.476,7.358,0,593,733,0.032,-25.574,0.010812,0.1393872,0,3,"7/17/13 10:10","EL","Inlet","Surface","0",200,"",0.05406,0.696936,"2013-07-17 10:10:00","2013-07-17 00:00:00",1.0669941,1.16049621180584e-05,7.71899764403513e-07,3.44491686307429e-08,336.872051759822,15.0342863843549,22.4069199659773
"56",56,"P-0823",NA,NA,1.54,193,1.528,-0.798,0,9.688,9.535,0,761,942,0.041,-28.194,0.01382,0.1774336,0,3,"7/17/13 10:10","EL","Outlet","Surface","0",140,"",0.098714286,1.267382857,"2013-07-17 10:10:00","2013-07-17 00:00:00",2.2565763,1.47725917908584e-05,9.86649532376669e-07,7.28562393052013e-08,202.76357840781,14.9724814192875,13.5424164324967
"57",57,"P-0855",NA,NA,0.96,118,0.953,-0.283,0,5.149,5.068,0,405,504,0.022,-30.121,0.00918,0.0993628,0,3,"7/25/13 12:40","EL","DeepHole","PML","0-1",140,"",0.065571429,0.709734286,"2013-07-25 12:40:00","2013-07-25 00:00:00",1.2120651,8.27265007076846e-06,6.55386592418077e-07,3.91329577373842e-08,211.398538446418,12.6225500589601,16.7476886571234
