lakeID,datetime,NLL,iota,R,GPP,DO0,convergence,sd_iota,sd_R,sd_GPP,GPP.weighted,R.weighted,thermo.depth,GPP.weighted.areal,R.weighted.areal
WL,7/10/12,-33.21175077,0.918121288,0.688285071,0.568241205,7.426647461,0,0.449016136,0.358703635,0.277903882,1.319075576,1.931045939,3.131684678,4130.92877,6047.426978
WL,7/11/12,-76.4758554,1.408957798,0.326315015,0.938683887,7.722206032,0,0.594470625,0.479632269,0.396051605,1.435391558,2.048429797,NA,NA,NA
WL,7/12/12,-33.08741712,2.911443327,2.947730177,1.797215769,8.24559641,0,0.741115734,0.580038433,0.457486111,1.595376087,2.17226737,3.154708402,5032.946345,6852.870126
WL,7/13/12,53.10698167,2.872415483,1.960694105,1.744449838,7.6123355,0,1.624840716,1.350382818,0.986783821,1.43285293,2.047299428,3.140645557,4500.083188,6429.841853
WL,7/14/12,-9.246882698,3.873529824,3.289364284,1.818549624,7.94470348,0,1.379105498,0.832584169,0.647464173,NA,NA,3.1351614,NA,NA
WL,7/15/12,45.06812097,2.691024252,1.918209686,1.634871984,7.103155265,0,1.335435357,1.069183764,0.811314075,NA,NA,3.160775808,NA,NA
WL,7/16/12,-18.56692451,4.172514332,1.741671854,2.131757856,7.678706135,0,1.249091195,0.836019913,0.638166763,NA,NA,3.116098526,NA,NA
WL,7/17/12,-113.4386896,2.533472105,1.023701666,0.627018512,7.788907805,0,0.777443049,0.258800083,0.192412296,NA,NA,3.161184524,NA,NA
WL,7/18/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WL,7/19/12,-172.5444499,0.478671784,0.137357365,0.30687083,7.447828854,0,0.113187029,0.094700056,0.072562868,NA,NA,3.394024572,NA,NA
WL,7/20/12,-204.1515136,0.875492332,0.303428311,0.591878415,7.538480643,0,0.127622107,0.10831047,0.086279192,NA,NA,3.389738271,NA,NA
WL,7/21/12,-119.0544728,1.721817721,1.703216253,1.100218805,7.83957419,0,0.172330081,0.146564639,0.110116648,NA,NA,3.358283728,NA,NA
WL,7/22/12,-68.62149561,0.764025044,0.013904436,0.517860419,7.505007417,0,0.197892715,0.154388416,0.134132781,NA,NA,3.341043885,NA,NA
WL,7/23/12,-111.627903,1.211114503,0.962086241,0.83493561,7.775527675,0,0.256032019,0.226876037,0.176507051,0.859974152,1.315816589,3.311871906,2848.124235,4357.815994
WL,7/24/12,-87.18241063,0.186275481,9.27E-09,0.128793584,7.67693855,0,0.23963352,0.174255067,0.16568611,0.951147073,1.348641644,3.24853181,3089.831523,4381.105281
WL,7/25/12,-120.4967451,1.235035842,0.636652044,0.242766879,7.797074465,0,0.672628857,0.190346074,0.132216412,0.986195278,1.383413297,NA,NA,NA
WL,7/26/12,-143.5863214,2.310446376,0.731766806,0.831022636,7.475473941,0,0.338770798,0.168360971,0.121849269,0.977810813,1.227156899,2.5,2444.527032,3067.892247
WL,7/27/12,-100.5816277,3.195452767,2.056418535,1.464036628,7.731402523,0,0.377280114,0.235358419,0.1728556,0.988689374,1.159128966,3.083333333,3048.458902,3573.980979
WL,7/28/12,-48.51322334,1.789968952,1.216588068,1.237475146,7.493792449,0,0.317767422,0.289752223,0.219684977,0.962792012,1.091224444,6.5,6258.148078,7092.958889
WL,7/29/12,-87.6731563,1.111018562,0.625614649,0.652812132,7.878251665,0,0.374738099,0.286247061,0.22018856,NA,NA,5.055555556,NA,NA
WL,7/30/12,-150.5238213,2.24714281,1.157809677,1.073171425,7.959293318,0,0.253588783,0.152954592,0.121106782,NA,NA,2.777777778,NA,NA
WL,7/31/12,-127.5879101,1.319312773,0.673116493,0.818961571,7.806882868,0,0.167153953,0.132736772,0.103760584,NA,NA,2.972222222,NA,NA
WL,8/1/12,-212.5182078,1.731284862,0.741058363,0.821221749,7.856342332,0,0.132664931,0.080015788,0.062928597,NA,NA,NA,NA,NA
WL,8/2/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.447115404,NA,NA
WL,8/3/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.428043673,NA,NA
WL,8/4/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.436595745,NA,NA
WL,8/5/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.500348195,NA,NA
WL,8/6/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.513588089,NA,NA
WL,8/7/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.495751035,NA,NA
WL,8/8/12,-175.1273557,2.197702057,0.797900213,0.262333895,7.343548137,0,0.416153594,0.061467389,0.049675156,NA,NA,NA,NA,NA
WL,8/9/12,-210.4702808,2.926345832,0.609231382,0.505134031,7.129789499,0,0.367795003,0.078515173,0.063487292,NA,NA,3.542440448,NA,NA
WL,8/10/12,-173.2055256,1.792465985,1.486937716,1.124091517,7.377287668,0,0.154351343,0.123462981,0.096796836,NA,NA,3.547395045,NA,NA
WL,8/11/12,-118.4661588,1.54704245,1.161231288,0.959921577,7.449403831,0,0.322670374,0.253326798,0.200213158,NA,NA,3.566093838,NA,NA
WL,8/12/12,-122.8462924,1.175609895,0.456415502,0.483767554,7.519578037,0,0.310237593,0.160240216,0.127663847,0.722499817,1.013586506,3.569026853,2578.621248,3617.51746
WL,8/13/12,-116.4104976,1.693753533,1.158426066,0.808433266,7.809110117,0,0.336821319,0.206997677,0.160765751,0.822920088,1.145357357,3.551715612,2922.778122,4067.983607
WL,8/14/12,-107.890458,1.926108479,1.031152404,0.848160531,7.759059248,0,0.432240311,0.241475462,0.190336721,0.862291739,1.198060178,3.533754681,3047.127469,4233.650763
WL,8/15/12,-194.6682829,1.109661528,0.654347041,0.586763586,7.758353837,0,0.149546365,0.099830368,0.079076691,0.817678065,1.152719371,NA,NA,NA
WL,8/16/12,-219.3128532,2.291101507,1.185163993,0.658459391,7.917274716,0,0.203043987,0.077738126,0.05835456,0.831638262,1.208133399,3.534041719,2939.044312,4269.593835
WL,8/17/12,-218.05703,1.685283488,1.470913267,1.05204758,7.66741552,0,0.119633099,0.096510879,0.074681627,0.85099276,1.227080458,3.572393919,3040.081361,4383.614767
WL,8/18/12,-165.7982565,2.02189642,1.109487711,0.852640741,7.605842613,0,0.283611026,0.148573265,0.119599754,0.839935828,1.209161393,3.588963372,3014.49892,4339.635951
WL,8/19/12,-137.9073989,1.8435316,1.265198333,0.897157214,7.719788874,0,0.323334704,0.210290619,0.157351283,0.823911823,1.202704858,3.599115781,2965.354045,4328.674035
WL,8/20/12,-129.0211123,2.276741783,1.685023066,1.08525166,7.741000787,0,0.383870506,0.226779343,0.182979074,0.839144835,1.249869211,3.623041808,3040.256819,4528.328405
WL,8/21/12,-107.6544803,1.413906663,0.929222299,0.80974631,7.631069676,0,0.42610318,0.323296206,0.244029883,0.871172675,1.255648484,3.624700714,3157.740218,4551.349956
WL,8/22/12,-147.4407067,0.468077801,0.587395563,0.272566904,7.900121278,0,0.305258691,0.235515025,0.177755527,0.740187841,1.118691341,3.583303356,2652.317575,4008.610438
WL,8/23/12,-123.4364305,3.646624558,0.873835686,0.471789649,7.766420426,0,1.480737148,0.245834469,0.191573453,0.695047159,1.086504057,3.275671705,2276.746312,3559.030597
WL,8/24/12,-144.4598921,1.209432095,1.113750104,0.579102124,7.719311778,0,0.322240436,0.202370443,0.154295658,0.704064277,1.098446721,3,2112.19283,3295.340162
WL,8/25/12,-92.77160929,0.945036379,0.946618867,0.434546103,7.680686126,0,0.652617246,0.421429739,0.300086099,0.58102587,0.904849746,3,1743.07761,2714.549237
WL,8/26/12,-176.825315,1.026108467,0.857095174,0.387509863,7.635613951,0,0.233647505,0.120095096,0.08823698,NA,NA,3,NA,NA
WL,8/27/12,-44.41809996,0.280339119,0.62964755,0.152653995,7.534370035,0,0.312468935,0.226877841,0.170149751,NA,NA,3,NA,NA
WL,8/28/12,-48.75335885,2.016941591,1.483224941,1.090098102,7.356219015,0,0.569832361,0.385270481,0.307977771,NA,NA,3,NA,NA
WL,8/29/12,-184.1863238,0.937437737,0.426524531,0.506901879,7.441459881,0,0.190216816,0.133029118,0.102856177,NA,NA,3,NA,NA
WL,8/30/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,8/31/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/1/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/2/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/3/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/4/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/5/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/6/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/7/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
WL,9/8/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.055555556,NA,NA
WL,9/9/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,NA,NA
WL,9/10/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,9/11/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,9/12/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,9/13/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,9/14/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,9/15/12,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
WL,6/13/13,-188.043428,8.74E-07,0.358846442,3.78E-07,8.344771793,1,0.10451366,0.084583343,0.04517378,NA,NA,1.596599348,NA,NA
WL,6/14/13,-217.7482324,0.285963877,0.481713734,0.183714713,8.183434091,0,0.11792398,0.101989315,0.075759114,NA,NA,1.585858735,NA,NA
WL,6/15/13,-224.7505354,1.291969887,0.733866496,0.197758421,8.038893604,0,0.421755389,0.085750234,0.064556984,NA,NA,1.857138186,NA,NA
WL,6/16/13,-168.7830235,0.060379445,0.61116342,0.033803684,7.863990446,0,0.120913923,0.095820804,0.067694163,NA,NA,1.788624375,NA,NA
WL,6/17/13,-229.0307816,1.103663212,1.12658499,0.537971435,7.78162323,0,0.174496805,0.113380862,0.085057014,0.333722188,0.757636978,1.914290616,638.8412528,1450.337358
WL,6/18/13,-200.9292264,0.638463741,0.876829482,0.446526909,7.831372496,0,0.13634677,0.127516638,0.095357806,0.341516072,0.789679491,1.882778614,642.999157,1486.791658
WL,6/19/13,-231.6648596,0.246816702,0.699225571,0.14782058,7.926848716,0,0.107020732,0.084044521,0.064095608,0.362056735,0.832347461,1.927901343,698.0096653,1604.683788
WL,6/20/13,-233.3638237,0.5018122,0.592548002,0.122329617,7.798470607,0,0.22976033,0.066337756,0.056009984,0.450822163,0.981391362,1.949893846,879.0553619,1913.608977
WL,6/21/13,-226.8978028,2.604048584,0.899664452,0.333788394,7.692861201,0,0.430918466,0.079473101,0.055235368,0.459442359,1.038068375,2.002056256,919.829449,2078.271284
WL,6/22/13,-129.0107666,1.72858033,0.879300237,0.416214534,7.564181836,0,0.601825693,0.200870818,0.144910014,0.432381188,1.029463274,1.989295897,860.1341229,2047.907067
WL,6/23/13,-175.6877462,0.783263299,1.069001344,0.427240757,7.699594796,0,0.265954108,0.193710986,0.145067993,0.424120088,1.025427828,1.942415306,823.8173498,1991.806708
WL,6/24/13,-168.6759256,1.055462205,1.520443715,0.669762599,7.609055855,0,0.117331785,0.098189861,0.074455003,0.435798406,1.052807742,1.823656428,794.746564,1919.959605
WL,6/25/13,-49.32017597,0.775710532,1.408626654,0.509088587,7.259681295,0,0.366304889,0.316466384,0.240401065,0.452148533,1.125627432,1.317372855,595.6482035,1482.871024
WL,6/26/13,-93.33161515,0.696567546,1.073914127,0.290449317,7.103307486,0,0.264884165,0.150217253,0.110449339,0.475254691,1.186745925,NA,NA,NA
WL,6/27/13,-126.24439,0.081385344,0.86530039,0.033633793,6.958858075,0,0.174263557,0.105441598,0.072017198,0.563844939,1.282428242,1.734779271,978.1465124,2224.729931
WL,6/28/13,-222.8773198,1.455381123,0.973153096,0.388268395,7.000457172,0,0.225138001,0.084058883,0.060062597,0.573263094,1.324861165,1.895729101,1086.751529,2511.577866
WL,6/29/13,-174.156931,0.996861822,1.211121698,0.419783359,7.240220896,0,0.211299934,0.122285886,0.088979429,0.535805527,1.259309145,1.955994157,1048.03248,2463.201329
WL,6/30/13,-117.1675607,0.699382955,1.482739426,0.477985996,7.38134385,0,0.325028062,0.289368052,0.222137043,0.510473512,1.245295437,1.966752511,1003.975061,2449.187928
WL,7/1/13,-171.0680534,1.250848518,1.700981008,0.872143706,7.195117605,0,0.152337795,0.139472318,0.106216258,0.506238697,1.234217692,1.940015557,982.1109476,2394.401522
WL,7/2/13,-173.1695807,0.841094455,1.471134681,0.563593446,7.12396291,0,0.124038398,0.109446461,0.083114599,0.502151831,1.293585856,1.910065005,959.142639,2470.833074
WL,7/3/13,-142.767393,0.548876524,0.884972781,0.385562888,7.076674422,0,0.212389228,0.195510251,0.149194583,0.512047649,1.318991666,1.917429228,981.815128,2529.073173
WL,7/4/13,-216.1631802,0.565152946,1.222836258,0.351843424,7.239540359,0,0.09765395,0.079351684,0.060795755,0.56131112,1.396808791,1.907507424,1070.705129,2664.423138
WL,7/5/13,-259.8267326,0.606451943,1.079108,0.395111022,7.067279435,0,0.091569416,0.079112937,0.059658619,0.58411025,1.413953516,1.898138575,1108.722198,2683.879712
WL,7/6/13,-99.21385832,0.561347483,1.536339934,0.321322316,7.165486122,0,0.255198061,0.180393092,0.14607856,0.561064959,1.387010513,1.920188156,1077.350289,2663.321159
WL,7/7/13,-107.5988817,0.134064519,1.147619044,0.062668832,7.098093702,0,0.172278041,0.12237581,0.080531849,0.591676943,1.374904286,1.933545114,1144.034063,2658.439464
WL,7/8/13,-97.22822645,1.416516843,2.114488683,0.874726694,7.00008377,0,0.342916194,0.284672558,0.211757417,0.558637001,1.335340527,1.910085567,1067.044472,2550.614668
WL,7/9/13,-73.38491162,4.35739141,1.840771267,0.854502611,6.752029203,0,1.767912275,0.415773012,0.346694963,0.557360277,1.287698328,1.971823018,1099.015824,2539.113202
WL,7/10/13,-119.0290672,2.08780347,1.643263695,0.947562654,6.465149974,0,0.491250169,0.294022143,0.22295696,0.5823098,1.339859784,NA,NA,NA
WL,7/11/13,-28.5555997,1.360128358,1.473878818,0.94987303,6.951396781,0,0.54173735,0.492065995,0.378333188,0.604347041,1.291833189,1.970009459,1190.569386,2544.923602
WL,7/12/13,-259.5981362,0.533595041,1.036020764,0.354480155,7.318534994,0,0.073488679,0.063498063,0.048820315,0.594920727,1.264757395,1.991952836,1185.054029,2519.33708
WL,7/13/13,-228.3506026,0.325958908,0.835572704,0.191204552,7.250848983,0,0.09661316,0.075750707,0.056672408,0.543199789,1.132267019,1.994524038,1083.425036,2258.333787
WL,7/14/13,-73.36271426,0.572038868,1.453016036,0.333387828,7.297076672,0,0.354478818,0.283098641,0.206592471,0.549578094,1.082457094,1.969815633,1082.567521,2132.240906
WL,7/15/13,-121.2120144,0.994359483,1.114027927,0.605741009,7.009778633,0,0.189270217,0.150229076,0.115299079,0.490625248,1.026116292,1.915372044,939.7298838,1965.39446
WL,7/16/13,-158.2203649,0.287394391,0.66997771,0.169381273,6.987416376,0,0.171668182,0.133452514,0.101175862,0.462858595,1.063495009,1.858018387,859.9997798,1975.993281
WL,7/17/13,-87.64098295,0.760103746,0.897566934,0.46104515,6.985592536,0,0.199419379,0.154549693,0.120958932,0.487297147,1.059797248,NA,NA,NA
WL,7/18/13,-125.5316487,1.359077047,1.118817409,0.760378125,6.872730785,0,0.299361073,0.222617696,0.167486908,0.516318733,1.143986576,1.856627823,958.6117261,2123.957307
WL,7/19/13,-81.12057767,0.78999406,0.980265488,0.457539872,6.883412304,0,0.3290702,0.256317852,0.190587176,0.713863409,1.392549357,1.951029818,1392.768798,2716.90532
WL,7/20/13,-169.6121285,0.747650874,1.327834047,0.509715137,7.093577552,0,0.108792839,0.098376129,0.074170122,0.760584188,1.432259673,2.000551743,1521.588022,2865.309585
WL,7/21/13,-124.2697182,0.835682209,0.937912592,0.468477063,6.938370961,0,0.241902745,0.173700586,0.135608831,0.755345246,1.426729105,2.025507469,1529.957437,2889.850459
WL,7/22/13,19.34569578,0.246539538,1.580098277,0.0894567,7.234516046,0,0.755276722,0.376410016,0.274051634,0.756229928,1.41702055,2.057902249,1556.247269,2916.089775
WL,7/23/13,-106.80198,2.400538515,2.571810084,1.34597361,7.085080084,0,0.286201259,0.215689419,0.160472052,0.695951766,1.309478487,2.106555783,1466.061217,2758.48948
