Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z202,16,6/6/13,7/10/13,12:00,RB,Deephole,0,3,0
Z107,16,5/28/13,7/15/13,12:00,TU,Deephole,0,10.5,22
Z139,16,5/28/13,7/19/13,10:00,BA,Deephole,0,8,0
Z320,16,6/28/13,7/22/13,11:20,BR,Deephole,0,3,6
Z156,16,6/2/13,7/23/13,23:30,BA,Deephole,2,2.5,28
Z312,3,7/10/13,7/22/13,10:00,EL,Deephole,0,10,8
Z304,3,7/3/13,7/23/13,9:00,WL,Deephole,0,10,0
Z263,16,6/12/13,7/18/13,11:30,CB,Deephole,4,4.5,6
Z159,16,6/2/13,7/19/13,23:30,BA,Deephole,4,4.5,4
Z243,16,6/10/13,7/19/13,23:00,DW,Deephole,3,3.5,10
Z303,3,7/3/13,7/24/13,10:00,EL,Deephole,0,10,4
Z214,16,6/6/13,7/26/13,23:00,HB,Deephole,3,3.5,3
Z244,16,6/10/13,7/26/13,23:00,DW,Deephole,4,4.5,3
Z211,16,6/6/13,7/26/13,23:00,HB,Deephole,0,0.5,32
Z245,16,6/10/13,7/29/13,23:00,DW,Deephole,5,5.5,1
Z285,16,6/13/13,7/30/13,23:30,RS,Deephole,4,4.5,2
Z161,16,6/2/13,7/30/13,23:30,BA,Deephole,3,3.5,26
Z249,16,6/11/13,7/30/13,11:00,DW,Deephole,3,3.5,0
Z228,16,6/9/13,7/31/13,23:30,TU,Deephole,7.5,8,2
Z224,16,6/9/13,7/31/13,23:30,TU,Deephole,1.5,2,46
Z172,16,6/3/13,8/1/13,23:30,BR,Deephole,1,1.5,60
Z533,3,8/16/13,9/10/13,10:05,EL,Deephole,0,10,14
Z532,3,8/16/13,9/10/13,9:00,WL,Deephole,0,10,36
Z356,16,7/22/13,9/9/13,23:30,BA,Deephole,4,4.5,1
Z409,16,7/28/13,9/11/13,23:00,WL,Deephole,9,9.5,16
Z504,16,8/2/13,9/11/13,10:30,DW,Deephole,4,4.5,8
Z432,16,7/29/13,9/16/13,23:30,RE,Deephole,10.5,11,0
Z388,16,7/26/13,9/16/13,11:30,HB,Deephole,1,1.5,32
Z358,16,7/22/13,9/18/13,23:30,BA,Deephole,6,6.5,2
Z410,16,7/28/13,9/12/13,23:00,WL,Deephole,10.5,11,1
Z384,16,7/25/13,9/12/13,11:00,WL,Deephole,9,9.5,4
Z382,16,7/25/13,9/17/13,11:00,WL,Deephole,6,6.5,9
Z169,16,6/3/13,9/17/13,12:00,BA,Deephole,5,5.5,0
Z505,16,8/2/13,9/19/13,10:30,DW,Deephole,5,5.5,7
Z167,16,6/3/13,9/19/13,12:00,BA,Deephole,3,3.5,0
Z407,16,7/28/13,9/17/13,23:00,WL,Deephole,6,6.5,2
Z293,16,6/14/13,9/17/13,11:30,RE,Deephole,12,12.5,0
Z381,16,7/25/13,9/17/13,11:00,WL,Deephole,4.5,5,4
Z449,16,7/30/13,9/12/13,13:30,TU,Deephole,6,6.5,6
Z186,16,6/4/13,9/12/13,23:30,WL,Deephole,10.5,11,0
Z383,16,7/25/13,9/12/13,11:00,WL,Deephole,7.5,8,6
