Zoop ID,Project ID,Date,Time,LakeID,Site,tow type,Depth Top (m),Depth Bot (m),Comments
Z370,16,7/24/13,11:15,RB,Deephole,schindler,1,1.5,
Z371,16,7/24/13,11:15,RB,Deephole,schindler,2,2.5,
Z372,16,7/24/13,11:15,RB,Deephole,schindler,3,3.5,
Z373,16,7/24/13,11:15,RB,Deephole,schindler,4,4.5,
Z374,16,7/24/13,11:15,RB,Deephole,schindler,5,5.5,
Z375,16,7/24/13,11:15,RB,Deephole,vertical,0,4.5,
Z376,3,7/25/13,10:40,WL,Deephole,vertical,0,10,
Z377,3,7/25/13,12:40,EL,Deephole,vertical,0,10,
Z378,16,7/25/13,10:40,WL,Deephole,schindler,0,0.5,
Z379,16,7/25/13,10:40,WL,Deephole,schindler,1.5,2,
Z380,16,7/25/13,10:40,WL,Deephole,schindler,3,3.5,
Z381,16,7/25/13,10:40,WL,Deephole,schindler,4.5,5,
Z382,16,7/25/13,10:40,WL,Deephole,schindler,6,6.5,
Z383,16,7/25/13,10:40,WL,Deephole,schindler,7.5,8,
Z384,16,7/25/13,10:40,WL,Deephole,schindler,9,9.5,
Z385,16,7/25/13,10:40,WL,Deephole,schindler,10.5,11,
Z386,16,7/26/13,11:30,HB,Deephole,vertical,0,5.5,
Z387,16,7/26/13,11:30,HB,Deephole,schindler,0,0.5,
Z388,16,7/26/13,11:30,HB,Deephole,schindler,1,1.5,
Z389,16,7/26/13,11:30,HB,Deephole,schindler,2,2.5,
Z390,16,7/26/13,11:30,HB,Deephole,schindler,3,3.5,
Z391,16,7/26/13,11:30,HB,Deephole,schindler,4,4.5,
Z392,16,7/26/13,11:30,HB,Deephole,schindler,5,5.5,
Z393,20,7/15/13,9:00,BA,light 6,vertical,0,4,
Z394,20,7/15/13,9:00,BA,dark 18,vertical,0,4,
Z395,20,7/15/13,9:00,BA,dark 12,vertical,0,4,
Z396,20,7/15/13,9:00,BA,dark 3,vertical,0,4,
Z397,20,7/15/13,9:00,BA,light control ,vertical,0,4,
Z398,20,7/15/13,9:00,BA,dark 6,vertical,0,4,
