,ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,X.N,Area.All.C,Area.C.44,X.C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C,amountN.mg,amountC.mg,flag,ProjectID,Date.time,lakeID,Site,depthClass,depth,volFiltered,comments,PON,POC,dateTimeSample,dateSample
56,P-0823,NA,NA,1.54,193,1.528,-0.798,0,9.688,9.535,0,761,942,0.041,-28.194,0.01382,0.1774336,0,3,7/17/13 10:10,EL,Outlet,Surface,0,140,,0.098714286,1.267382857,2013-07-17 10:10:00,2013-07-17 00:00:00
57,P-0855,NA,NA,0.96,118,0.953,-0.283,0,5.149,5.068,0,405,504,0.022,-30.121,0.00918,0.0993628,0,3,7/25/13 12:40,EL,DeepHole,PML,0-1,140,,0.065571429,0.709734286,2013-07-25 12:40:00,2013-07-25 00:00:00
58,P-0856,NA,NA,1.269,157,1.259,-3.227,0,6.009,5.914,0,475,592,0.026,-31.177,0.011652,0.1141548,0,3,7/25/13 12:40,EL,DeepHole,Mete,4,170,,0.068541176,0.671498824,2013-07-25 12:40:00,2013-07-25 00:00:00
59,P-0857,NA,NA,0.712,84,0.706,-0.934,0,5.411,5.326,0,425,528,0.023,-25.121,0.007196,0.1038692,0,3,7/25/13 13:30,EL,Inlet,Surface,0,180,,0.039977778,0.577051111,2013-07-25 13:30:00,2013-07-25 00:00:00
60,P-0858,NA,NA,1.526,198,1.514,-1.901,0,10.607,10.44,0,841,1045,0.045,-29.227,0.013708,0.1932404,0,3,7/25/13 12:00,EL,Outlet,Surface,0,50,,0.27416,3.864808,2013-07-25 12:00:00,2013-07-25 00:00:00
61,P-0899,NA,NA,1.318,164,1.308,-0.801,0,6.671,6.566,0,525,654,0.029,-30.046,0.012044,0.1255412,0,3,7/31/13 8:40,WL,DeepHole,PML,0-1,200,,0.06022,0.627706,2013-07-31 08:40:00,2013-07-31 00:00:00
62,P-0900,NA,NA,1.198,156,1.189,-1.524,0,6.475,6.373,0,509,635,0.028,-32.092,0.011084,0.12217,0,3,7/31/13 8:40,WL,DeepHole,Hypo,8,140,,0.079171429,0.872642857,2013-07-31 08:40:00,2013-07-31 00:00:00
63,P-0901,NA,NA,7.189,938,7.135,0.965,0,22.84,22.481,0,1799,2207,0.097,-25.241,0.059012,0.403648,0,3,7/31/13 9:25,EL,DeepHole,PML,0-1,180,,0.327844444,2.242488889,2013-07-31 09:25:00,2013-07-31 00:00:00
64,P-0902,NA,NA,0.962,118,0.955,-2.264,0,6.071,5.975,0,467,579,0.026,-31.396,0.009196,0.1152212,0,3,7/31/13 9:25,EL,DeepHole,Hypo,8,180,,0.051088889,0.640117778,2013-07-31 09:25:00,2013-07-31 00:00:00
65,P-0903,NA,NA,NA,NA,NA,NA,NA,3.843,3.782,0,300,374,0.017,-25.505,NA,0.0768996,0,3,7/31/13 10:05,EL,Inlet,Surface,0,200,no N peak,,0.384498,2013-07-31 10:05:00,2013-07-31 00:00:00
