Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
16,P-0729,6/24/13 12:30,TU,Deep Hole,PML,0-0.5,140,Filter ,
16,P-0730,6/24/13 12:30,TU,Deep Hole,Hypo,3.5,140,Filter ,
16,P-0731,6/20/13 11:00,RB,Deep Hole,PML,0-1.5,-,Particulate,
16,P-0732,6/20/13 11:00,RB,Deep Hole,Hypo,3,-,Particulate,
19,P-0733,6/25/13 9:00,BH,Deep Hole,PML,0-3,140,Filter ,
16,P-0734,6/25/13 12:30,DW,Deep Hole,PML,0-1,200,Filter ,
16,P-0735,6/25/13 12:30,DW,Deep Hole,Hypo,4,180,Filter ,
3,P-0736,6/26/13 8:30,WL,Deep Hole,PML,0-1,200,Filter ,
3,P-0737,6/26/13 8:30,WL,Deep Hole,Hypo,8,200,Filter ,
3,P-0738,6/26/13 9:30,EL,Deep Hole,PML,0-0.5,200,Filter ,
3,P-0739,6/26/13 9:30,EL,Deep Hole,Hypo,8,170,Filter ,
3,P-0740,6/26/13 11:00,EL,Inlet 1,Surface,0,200,Filter ,
3,P-0741,6/26/13 9:20,EL,Outlet,Surface,0,170,Filter ,
17,P-0742,6/26/13 15:23,CB,Deep Hole,PML,0-0.5,,Filter ,only 1 filter
16,P-0743,6/21/13 13:00,HB,Deep Hole,PML,0-0.5,,Particulate,
16,P-0744,6/21/13 13:00,HB,Deep Hole,Hypo,2,,Particulate,
16,P-0745,6/24/13 13:00,TU,Deep Hole,PML,0-0.5,,Particulate,
16,P-0746,6/24/13 13:00,TU,Deep Hole,Hypo,3.5,,Particulate,
17,P-0747,6/27/13 8:45,WA,Deep Hole,PML,0-1,,Filter ,volume not recorded
17,P-0748,6/27/13 9:30,NG,Deep Hole,PML,0-1,180,Filter ,
16,P-0749,6/27/13 14:30,RE,Deep Hole,PML,0-0.5,140,Filter ,
16,P-0750,6/27/13 14:30,RE,Deep Hole,Hypo,2.5,140,Filter ,
17,P-0751,6/28/13 11:20,BR,Deep Hole,PML,0-2,200,Filter ,
17,P-0752,6/28/13 12:15,BA,Deep Hole,PML,0-2,200,Filter ,
16,P-0753,6/28/13 12:00,RS,Deep Hole,PML,0-1,110,Filter ,
16,P-0754,6/28/13 12:00,RS,Deep Hole,Hypo,3.5,110,Filter ,
