"","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgC","mgN","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments"
"72","P-1275",NA,NA,0.806,108,0.8,0.701,0,6.26,6.162,0,535,664,0.027,-26.578,0.121516,0.0073734,3,"07/30/2014","EL","Inlet ","surface","0","140",""
"73","P-1305",NA,NA,0.906,121,0.899,1.786,0,4.004,3.941,0,341,427,0.017,-30.331,0.0840664,0.0082634,3,"08/06/2014","WL","DH","PML","2","140",""
"74","P-1306",NA,NA,2.14,289,2.124,-2.459,0,7.547,7.429,0,630,791,0.032,-34.101,0.1428802,0.019246,3,"08/06/2014","WL","DH","Hypo","8","140",""
"75","P-1307",NA,NA,1.182,158,1.173,0.294,0,4.441,4.371,0,376,471,0.019,-29.732,0.0913206,0.0107198,3,"08/06/2014","EL","DH","PML","1.5","140",""
"76","P-1308",NA,NA,1.256,169,1.246,-1.047,0,4.999,4.92,0,425,534,0.022,-31.756,0.1005834,0.0113784,3,"08/06/2014","EL","DH","Hypo","8","140",""
"77","P-1309",NA,NA,1.377,181,1.367,1.929,0,5.785,5.694,0,486,608,0.025,-28.776,0.113631,0.0124553,3,"08/06/2014","EL","Outlet","surface","0","140",""
"78","P-1326",NA,NA,0.979,131,0.972,1.33,0,4.039,3.976,0,343,430,0.017,-30.366,0.0846474,0.0089131,3,"08/12/2014","WL","DH","PML","2","140",""
"79","P-1327",NA,NA,2.169,288,2.152,-1.678,0,7.358,7.243,0,612,769,0.032,-34.044,0.1397428,0.0195041,3,"08/12/2014","WL","DH","Hypo","8","140",""
"80","P-1328",NA,NA,1.396,179,1.385,0.288,0,7.053,6.942,0,584,734,0.03,-35.233,0.1346798,0.0126244,3,"08/12/2014","EL","DH","PML","2","140",""
"81","P-1329",NA,NA,1.787,234,1.773,-1.847,0,7.558,7.44,0,636,798,0.032,-35.429,0.1430628,0.0161043,3,"08/12/2014","EL","DH","Hypo","8","140",""
"82","P-1330",NA,NA,1.909,236,1.895,0.712,0,7.312,7.197,0,549,682,0.031,-29.451,0.1389792,0.0171901,3,"08/12/2014","EL","Outlet","surface","0","140",""
"83","P-1337",NA,NA,1.024,137,1.017,1.638,0,4.247,4.181,0,359,450,0.018,-32.44,0.0881002,0.0093136,3,"08/20/2014","WL","DH","PML","3","140",""
"84","P-1338",NA,NA,3.127,411,3.103,0.775,0,9.815,9.661,0,807,1008,0.042,-30.517,0.180529,0.0280303,3,"08/20/2014","WL","DH","Hypo","8","120",""
"85","P-1339",NA,NA,1.343,171,1.332,-0.696,0,4.732,4.658,0,392,490,0.02,-30.507,0.0961512,0.0121527,3,"08/20/2014","EL","DH","PML","2","140",""
"86","P-1340",NA,NA,1.5,200,1.488,-1.397,0,5.453,5.368,0,461,578,0.023,-33.116,0.1081198,0.01355,3,"08/20/2014","EL","DH","Hypo","8","140",""
"87","P-1341",NA,NA,2.653,320,2.633,0.636,0,13.046,12.842,0,1037,1293,0.056,-29.198,0.2341636,0.0238117,3,"08/20/2014","EL","Outlet","Outlet","0","100",""
"88","P-1372",NA,NA,0.94,120,0.933,-3.27,0,3.167,3.118,0,267,335,0.014,-33.604,0.0701722,0.008566,3,"09/26/2014","EL","DH","PML","1","140",""
"89","P-1373",NA,NA,1.546,197,1.534,19.339,0,5.41,5.326,0,452,568,0.023,-32.679,0.107406,0.0139594,3,"09/26/2014","EL","DH","Hypo","1","140",""
"90","P-1374",NA,NA,0.626,83,0.622,-2.268,0,3.902,3.84,0,336,419,0.017,-24.983,0.0823732,0.0057714,3,"09/26/2014","EL","Inlet 1","surface","1","140",""
"91","P-1375",NA,NA,2.09,278,2.074,2.225,0,11.687,11.503,0,980,1220,0.05,-27.676,0.2116042,0.018801,3,"09/26/2014","EL","Outlet","surface","1","140",""
"92","P-1376",NA,NA,0.923,118,0.916,0.649,0,3.319,3.267,0,281,352,0.014,-32.617,0.0726954,0.0084147,3,"09/26/2014","WL","DH","PML","2","140",""
"93","P-1377",NA,NA,1.882,242,1.867,-1.61,0,6.93,6.822,0,575,720,0.03,-33.717,0.132638,0.0169498,3,"09/26/2014","WL","DH","Hypo","2","140",""
